model,accuracy,macro_f1
LSTM,0.9977272727272727,0.997725851384388
Transformer,0.9977272727272727,0.997725851384388
RandomForest,0.9954545454545455,0.9954517027687758
MLP,0.9931818181818182,0.9931775541531639
HistGB,0.9886363636363636,0.9886121580601682
LogReg,0.9727272727272728,0.9724640256149183
